證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","16739748","2995817069","178.90","180.50","177.80","178.95","2.5500","17606"
"0051","元大中型100","96907","7964092","81.70","82.35","81.70","82.25","0.8500","262"
"0052","富邦科技","1139106","201231481","176.00","178.25","175.25","176.60","3.2000","1287"
"0053","元大電子","32939","3195251","96.00","97.90","96.00","97.45","1.6000","144"
"0055","元大MSCI金融","152283","4102095","26.88","26.99","26.88","26.91","0.0600","243"
"0056","元大高股息","23039780","929796081","40.20","40.45","40.19","40.42","0.4500","14105"
"0057","富邦摩台","16462","2168992","132.65","132.65","131.45","131.65","2.1500","21"
"0061","元大寶滬深","117372","2016145","17.15","17.28","17.13","17.21","0.0700","137"
"006203","元大MSCI台灣","16416","1393783","84.65","85.35","84.45","84.65","1.2500","129"
"006204","永豐臺灣加權","6582","729015","110.60","111.20","110.55","110.90","1.4500","132"
"006205","富邦上証","206190","6081039","29.60","29.60","29.45","29.48","-0.0300","188"
"006206","元大上證50","282111","7923279","28.54","28.54","27.96","28.05","0.0000","127"
"006207","復華滬深","18513","413810","22.36","22.39","22.30","22.30","0.0000","74"
"006208","富邦台50","8280410","867403039","104.75","105.65","103.90","104.55","1.4000","10212"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","3314688","776286479","234.00","236.90","231.25","234.20","6.1000","4601"
"00632R","元大台灣50反1","244151698","862199464","3.55","3.56","3.51","3.52","-0.0600","10760"
"00633L","富邦上証正2","4304320","144622295","33.63","33.91","33.45","33.45","-0.1500","949"
"00634R","富邦上証反1","706000","3262340","4.62","4.66","4.62","4.66","0.0000","13"
"00635U","期元大S&P黃金","324168","8854297","27.38","27.41","27.26","27.28","-0.0600","223"
"00636","國泰中國A50","1214182","24870741","20.49","20.55","20.42","20.44","0.0000","276"
"00636K","國泰中國A50+U","200","1266","6.33","6.33","6.33","6.33","0.0000","2"
"00637L","元大滬深300正2","34271683","462557850","13.52","13.60","13.42","13.43","-0.0600","3678"
"00638R","元大滬深300反1","311000","3020190","9.75","9.75","9.69","9.74","-0.0100","32"
"00639","富邦深100","445466","4666356","10.52","10.53","10.43","10.45","-0.0200","137"
"00640L","富邦日本正2","967273","55350910","57.55","57.60","56.90","57.15","-0.7500","481"
"00641R","富邦日本反1","641565","4132609","6.42","6.46","6.41","6.44","0.0400","86"
"00642U","期元大S&P石油","1875970","32922624","17.57","17.58","17.52","17.57","-0.0300","486"
"00643","群益深証中小","509836","5900196","11.60","11.63","11.55","11.57","0.0200","122"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","1437878","54622401","38.08","38.10","37.84","37.96","-0.2000","570"
"00646","元大S&P500","5968553","327063104","54.65","54.95","54.55","54.75","0.4500","1918"
"00647L","元大S&P500正2","124461","10994345","88.25","88.50","88.25","88.30","1.4500","114"
